Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Volleyball duration (ms),High intensity interval training duration (ms)
2017-08-21,2006.3837823828685,4858.330135464668,,,,,,,,9116,,,,,,71684083,6765084,,,
2017-08-22,1951.0793567417297,5235.3508267998695,,,,,,,,9383,,,,,,73577804,5759020,,,
2017-08-23,2006.3416122788785,5773.459403991699,,,,,,,,9272,,,,,,73997089,6764317,,,
2017-08-24,1898.0664594075915,4015.1157393455505,,,,,,,,7504,,,,,,71995673,4794443,,,
2017-08-25,2301.5869205100576,10540.437875688076,,,,,,,,15699,,,,,,56235661,12135238,,,
2017-08-26,2008.7036919121242,5429.143887042999,,,,,,,,9792,,,,,,59893208,6807286,,,
2017-08-27,1910.3169368706701,3843.6001138687134,,,,,,,,6904,,,,,,67709758,5017495,,,
2017-08-28,2078.6951622569695,6583.465897738934,,,,,,,,10573,,,,,,65194186,8080528,,,
2017-08-29,2014.0211385990312,5593.397389769554,,,,,,,,10334,,,,,,67493395,6904017,,,
2017-08-30,1987.3833544946806,6050.689736485481,,,,,,,,9613,,,,,,72836588,6419439,,,
2017-08-31,1951.016299550903,5304.7314574718475,,,,,,,,8397,,,,,,64486306,5757872,,,
2017-09-01,1721.7605560801958,1207.3767952919006,,,,,,,,3251,,,,,,77899245,1587392,,,
2017-09-02,2049.0553675385836,6721.4609570503235,,,,,,,,10699,,,,,,56534645,7541338,,,
2017-09-03,1948.9984742585216,4086.024642288685,,,,,,,,6785,,,,,,60761186,5719164,,,
2017-09-04,1980.4090796626353,5475.979695320129,,,,,,,,8470,,,,,,74105272,6292567,,,
2017-09-05,1963.811026980716,5551.581313252449,,,,,,,,8902,,,,,,72944302,5990626,,,
2017-09-06,2000.7108755805016,5923.752969384193,,,,,,,,9133,,,,,,71648713,6661885,,,
2017-09-07,1981.1409306743794,6651.621611356735,,,,,,,,10666,,,,,,72412161,6299954,,,
2017-09-08,1946.57362009803,4813.445507049561,,,,,,,,8726,,,,,,68907042,5677054,,,
2017-09-09,2202.6966403120873,3825.516745388508,,,,,,,,7297,,,,,4916644,53167865,5071818,,,
2017-09-10,1755.1016737832508,2245.470970749855,,,,,,,,3647,,,,,,80818105,2193913,,,
2017-09-11,1964.4529272747086,5616.22922039032,,,,,,,,9002,,,,,,67487714,6002303,,,
2017-09-12,1932.8907922771582,4203.32985830307,,,,,,,,6646,,,,,,70101534,5428144,,,
2017-09-13,1811.5375909373804,3059.3828698396683,,,,,,,,3854,,,,,,81121297,3067058,,,
2017-09-14,1890.3340068539756,4981.037282466888,,,,,0.6009999930858612,0.699999988079071,0.5099999904632568,7919,,,,,,70066713,4653790,,,
2017-09-15,1811.2544815454953,2884.8201065063477,,,,,,,,4587,,,,,,72641675,3215411,,,
2017-09-16,2004.0469965939922,6197.416308403015,,,,,,,,9574,,,,,,71577422,6722574,,,
2017-09-17,1926.5869786361832,4955.018408834934,,,,,,,,8072,,,,,,68074885,5313470,,,
2017-09-18,1927.615632538147,5033.432665348053,,,,,,,,7459,,,,,,75649480,5332182,,,
2017-09-19,1985.3619472778614,5055.088720560074,,,,,,,,8607,,,,,,52620761,6382667,,,
